"LOAN","MORTDUE","VALUE","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","Default","Loan_Reason"
"        2400","       98449","      117195","Office","           4","           0","           0","93.811774855","           0","          13","29.681827045","No","Home Improvement"
"        2500","       15000","       20200","","          18","           0","           0","136.06666667","           1","          19","           .","Yes","Home Improvement"
"2078.4982467","11007.286827","       36350","Other","9.6079615548","           1","           2","276.96666667","           0","           9","           .","Yes","Home Improvement"
"        2500","        7229","       44516","Self","           .","           0","           0","         208","           0","          12","           .","No","Home Improvement"
"        2500","       71408","50999.380572","ProfExe","           8","           0","           0","255.73333333","           0","          12","           .","No","Home Improvement"
"        2800","       50795","       63100","Self","          26","           2","          15","145.63333333","           3","          45","           .","Yes","Home Improvement"
"        2800","        4000","48848.138951","Other","4.7143018789","           4","           0","112.63333333","           2","           9","           .","Yes","Home Improvement"
"        2900","       78600","      113000","ProfExe","           6","           1","           0","165.33333333","           2","          26","           .","Yes",""
"        2900","      103949","      112505","Office","0.7203341116","           0","           0"," 96.10232967","           0","          13","30.051136286","No","Home Improvement"
"        2900","61597.059977","      120702","Office","           2","           0","           0","101.54029753","           0","          13","29.915859028","No","Home Improvement"
"        2900","5927.6472074","       67996","Other","          16","           3","           0","122.20466276","           2","           8","36.211347998","Yes","Home Improvement"
"        2900","       61962","       70915","Mgr","1.8613008186","           0","           0","282.80165924","           3","          37"," 49.20639579","Yes",""
" 2360.127614","      104570","      121729","Office","           2","           0","           0","85.884371895","           0","          14","32.059783267","No","Home Improvement"
"1445.9643841","        7000","       20300","Other","2.6622249846","           0","           0","        50.8","           5","           9","           .","No","Home Improvement"
"        3000","           .","        8800","Other","           2","           0","           1","77.766666667","           0","           3","           .","Yes","Home Improvement"
"1351.9211041","           .","       33000","Other","           1","           0","           1","        23.3","           1","           2","           .","Yes","Home Improvement"
"        3000","      119826","      193500","Other","           8","           0","           0","130.03335846","           0","          27","           .","Yes","Home Improvement"
"        3000","       20000","       29750","Other","           2","           0","           0","187.06666667","           0","          12","           .","Yes",""
"        3000","           .","       14500","Other","           3","           0","           0","         9.3","          14","           2","           .","Yes","Home Improvement"
"        3000","           .","       14100","Other","           1","           0","           0","       104.2","           0","          19","           .","Yes","Home Improvement"
"        3000","       47000","       82700","ProfExe","          10","           0","           1","262.16666667","           5","          26","           .","Yes","Home Improvement"
"        3000","       34542","       45900","Mgr","7.3531159325","           0","           2","62.366666667","           0","          10","           .","Yes","Home Improvement"
"        3000","29956.817972","       71500","Mgr","          10","           .","           2","211.93333333","           0","          25","           .","No","Home Improvement"
"        3000","       47000","43093.531896","Office","          21","           0","           0","201.86666667","           0","          20","           .","No","Home Improvement"
"        3100","       39589","10641.244059","Other","         1.5","           0","           0","153.16666667","           1","          14","           .","Yes","Home Improvement"
"        3100","           .","       70400","","           .","           .","           .","           .","           .","           .","           .","No","Debt Consolidation"
"2815.9451557","11913.330117","64087.493943","Mgr","          10","           .","           1","206.42660206","           0","          25","40.115677278","No","Home Improvement"
"943.14435317","       48603","       61000","ProfExe","          28","           0","           4","122.03333333","           1","          25","           .","Yes","Home Improvement"
"        3200","       27200","       40834","Other","           .","           0","           0","298.13156403","           0","           7","35.553538789","Yes","Home Improvement"
"        3200","       54000","       64850","Other","           1","           0","           0","121.86666667","           3","          21","           .","Yes","Home Improvement"
"        3200","       74864","13100.093638","ProfExe","           7","           0","           0","250.63126922","           0","          12","42.909997351","No","Home Improvement"
"        3200","       23159","           .","Mgr","          20","           .","           2","117.80574784","           0","           9","0.5244992154","Yes","Home Improvement"
"        3300","      126541","      134527","Sales","           9","           1","           0","         139","           0","          36","           .","Yes","Home Improvement"
"        3300","128799.01738","      164317","Other","           9","           0","           6","192.28914897","           0","          33"," 35.73055919","Yes",""
"        3400","24206.384649","       52000","Office","           2","           0","           1","183.29991561","           0","           6","           .","Yes","Home Improvement"
"        3500","12606.582014","       38666","Other","          11","           0","           0","162.36666667","           0","          14","           .","Yes","Home Improvement"
"        3500","       19400","       20494","Other","           5","           0","           0","95.933333333","           0","           9","           .","Yes","Home Improvement"
"        3600","       61584","49437.689293","ProfExe","          10","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        3600","       41900","       52490","Mgr","           3","           0","           0","72.033333333","           2","           4","           .","Yes","Home Improvement"
"1470.8996567","       83700","      111800","ProfExe","           6","           0","           0","192.73333333","           1","          28","           .","No","Home Improvement"
"        3600","       61327","       76484","Mgr","           9","           .","           2","202.51077515","           0","          25","41.516389699","No","Home Improvement"
"        3600","      100693","      114743","Office","           6","           0","           0","88.470452135","           0","          14","29.393543382","No","Home Improvement"
"        3600","       48507","32922.837484","Office","          13","           1","           4","        97.4","           0","          17","           .","Yes",""
"        3600","       52337","       63989","Office","          20","           0","           0","204.27249884","           0","          20","20.470915508","No","Home Improvement"
"        3700"," 3646.890089","       21144","Other","           5","           0","           0","129.71732313","           1","           9","26.634347518","Yes","Home Improvement"
"        3800"," 7920.486386","       97692","Mgr","         1.6","           1","           6","252.63333333","           1","          25","           .","Yes","Home Improvement"
"        3800","27387.323577","       63459","Office","          20","           0","           0","203.75153358","           0","          20","20.067042051","Yes","Home Improvement"
"        3800","           .","       73189","","           .","           .","           .","           .","           .","           .","22.253949156","No","Debt Consolidation"
"        3800","       11543","       46045","Self","           .","           0","           0","204.64799167","           0","          11","42.173165882","No","Home Improvement"
"        3900","       29896","       45960","Other","          11","           0","           0","146.12324219","           0","          14","24.478881191","Yes","Home Improvement"
"        3900","10313.948289","       22092","Other","         3.5","           0","           1","       150.3","           5","           8","           .","Yes","Home Improvement"
"        3900","14690.295838","40404.302326","ProfExe","           8","           0","           4","171.66666667","           1","          31","           .","No",""
"        3900","      102143","      118742","Office","           2","           0","           0","85.277365579","           0","          13","29.343921089","No","Home Improvement"
"        3900","       21200","       39000","Mgr"," 0.457529953","           0","           1","86.566666667","           2","          14","           .","Yes",""
"        4000","      105164","      112774","Office","           1","           0","           0","94.724874167","           0","          13","29.390928055","No","Home Improvement"
"2871.2035468","       54543"," 16618.41899","Office","          21","           0","           0","205.58668003","           0","          19","21.806563464","No","Home Improvement"
"        4000","           .","       80609","Other","         1.5","           0","           2","126.53333333","           3","          12","           .","Yes","Home Improvement"
"1095.8029223","       26572","       31960","Office","9.6823442684","           0","           0","117.79510387","           0","           8","41.286491948","Yes","Home Improvement"
"670.54685423","       17000","       52012","ProfExe","7.4551271486","           3","           1","85.333333333","           1","           9","           .","Yes","Home Improvement"
"        4000","24852.573959","22315.228279","Other","0.1691494184","           0","           0","92.133333333","           1","          26","           .","Yes",""
"        4000","       41700","       76725","Other","         0.5","           0","           3","136.13333333","           0","          15","           .","No","Home Improvement"
"        4000","52434.765821","       69440","Other","         3.5","           0","           1","168.66666667","           0","          18","           .","Yes","Home Improvement"
"        4000","893.97529084","       18000","Other","           .","           0","           0","        12.2","           0","          17","           .","Yes",""
"3829.2092252","       45000","       58350","Mgr","0.0992207292","           0","           0","         162","           3","          16","           .","Yes","Home Improvement"
"        4000","        7000"," 5163.455217","Other","          18","           0","           1","        85.8","           2","          23","           .","Yes","Home Improvement"
"        4000","       66000","       79050","Other","0.0358933772","           2","           0","         279","           1","           6","           .","No","Home Improvement"
"613.23622643","           .","       45760","","           0","           0","           0","           .","           0","           0","           .","No","Home Improvement"
"        4000","59472.325459","       78000","Other","2.8579890853","           0","           0","109.56666667","           0","          15","           .","No","Home Improvement"
"        4000","       64240","       63990","Sales","           5","           2","           0","       160.3","           1","          23","           .","No","Home Improvement"
"        4000","       74000","5491.8741824","ProfExe","2.1169457418","           1","           3","186.63333333","           .","           9","           .","Yes","Home Improvement"
"2269.2165423","   30798.996","       59000","Other","          12","           2","           0","       146.1","           0","          22","           .","Yes",""
"        4000","       67625","       80698","Mgr","          11","           .","           1","212.34930388","           0","          25","39.128717628","No","Home Improvement"
"        4000","       67533","       71865","Mgr","          10","           .","           2","227.79298841","           0","          25","39.166328703","No","Home Improvement"
"1810.1922773","           .","       19132","Other","           0","           0","           0","100.77465221","           0","          19","33.840919904","Yes","Home Improvement"
"3848.9023387","       58500","       65000","Other","           8","           1","           2","63.933333333","           2","          15","           .","Yes","Home Improvement"
"        4100","       57992","       63797","ProfExe","           7","           0","           4","165.50503695","           1","          31"," 22.27817437","No",""
"2826.3018722","       56544","       59218","Office","11.249707367","           0","           0","211.00259912","           1","          20","19.027704425","No","Home Improvement"
"        4200","       34800","       50225","Other","           2","           1","           0","        93.5","           1","           5","           .","Yes","Home Improvement"
"        4200","       67700","       77000","Sales","           4","           0","           0","128.83333333","           0","          31","           .","No",""
"773.00889258","       44000","       55085","","           6","           .","           1","75.433333333","           .","          16","           .","Yes",""
"2.7174118919","28099.970563","61472.170402","Other","           3","           0","           0","110.27866259","           0","          15","43.450587911","No","Home Improvement"
"        4200","       50216","25211.130148","Office","7.0471684742","           0","           0","209.87130224","           0","          19"," 20.20803267","No","Home Improvement"
"3201.0371775","       71206","       78698","Sales","           3","           0","           0","129.93286902","           0","          31","34.181376516","No",""
"        4300","46330.159667","       79852","Other","           6","           0","           0","105.12070881","           0","          14","41.806376152","No","Home Improvement"
"        4300","       72021","6807.9344964","Other","           2","           2","           0","263.97030029","           0","           5","36.432093937","No","Home Improvement"
"1062.5901268","       53969","       63869","ProfExe","           7","           0","           3","162.39001067","           0","          30","23.581079239","No",""
"        4400","           .","31360.806615","","           .","           .","           .","           .","           .","           .","           .","No","Debt Consolidation"
"        4400","       53091","8125.0729875","Office","          14","           1","           3"," 89.86105825","           0","          17","39.158084834","Yes",""
"        4500","       66127","       79087","Other","           4","           1","           0","81.349065098","           0","          15"," 40.70530876","No","Home Improvement"
"        4500","           .","       77182","","           .","           .","           .","           .","           .","           .","25.227252904","No","Debt Consolidation"
"        4500","       39000","24807.355693","Other","           1","           0","           0","170.36666667","           1","          19","           .","Yes","Home Improvement"
" 1770.532854","67569.024779","       79247","Other","           4","           0","           0","118.76041007","           0","          14","41.421110521","No","Home Improvement"
"        4500","           .","       49044","","           0","           0","           0","           .","           0","           0","11.652738796","No","Home Improvement"
"2640.7642097","       57000","           .","Other","           5","           .","           .","       222.6","           1","          13","           .","Yes","Home Improvement"
"1740.9016738","       34184","       46000","Mgr","         3.5","           0","           1","       122.6","           2","          22","           .","Yes","Home Improvement"
"        4500","       66517","13238.950083","ProfExe","          10","           0","           4","       125.8","           0","          34","           .","Yes",""
"        4500","       45500","       50000","Other","           6","           0","           0","86.166666667","           0","          18","           .","No","Home Improvement"
"        4500","      118000","      146870","ProfExe","0.3199639951","           2","           0","203.86666667","           1","          20","           .","Yes","Home Improvement"
"        4500","59327.270854","      105800","Other","           6","           2","           3","        80.1","           3","          10","           .","Yes","Home Improvement"
"        4700","       67913","       97205","Mgr","           2","           0","           0","142.82439151","           0","          24","35.226997192","No","Debt Consolidation"
"        4700","       71855","       88566","Other","           2","           2","           0","283.95953809","           0","           5","36.475473283","No","Home Improvement"
"        4700","       53918","       59511","","           6","           .","           0"," 54.13647743","           .","          15","34.416507811","No",""
"        4700","       49100","43654.430336","ProfExe","         0.1","           0","           0","        61.8","           2","          17","           .","Yes","Home Improvement"
"        4700","20247.029687","46912.444224","ProfExe","           6","           0","           0","182.24833156","           0","          27"," 29.20902258","No","Home Improvement"
"        4700","       26900","       45000","ProfExe","2.2039559983","           1","           2","90.466666667","           1","          16","           .","Yes","Home Improvement"
"        4800","       67317","85081.746005","Mgr","           3","           0","           0","137.31972481","           0","          23","34.275293777","No","Debt Consolidation"
"        4800","       56067","38338.967548","ProfExe","2.9296252839","           0","           3","160.14631128","           1","          30","21.583760121","No",""
"        4800","2982.1895826","       88342","ProfExe","           7","           0","           0","275.03239483","           0","          11","43.717635112","No","Home Improvement"
"        4900","       58688","40837.033802","ProfExe","6.5157237433","           0","           3","179.16257471","           2","          31","22.544392837","No",""
"3557.8444563","       65873","       90408","Mgr","           2","           0","           0","141.85899895","           0","          23"," 37.76961861","No","Debt Consolidation"
"        4900","19149.823275","       23031","Other","           5","           0","           0","101.74676644","           0","           8","33.243156978","Yes","Home Improvement"
"1297.3823341","       67794","1119.5021254","Other","0.8598191519","           0","           0","112.57341888","           0","          15","41.673996362","No","Home Improvement"
"        4900","       44000","       59745","Other","          10","           0","           0","        81.5","           3","          13","           .","Yes","Home Improvement"
"        4900","           .","     28437.5","","           .","           .","           .","           .","           .","           .","           .","No","Home Improvement"
"        4900","      170986","      245300","Sales","           .","           0","           0","131.93333333","           0","          22","           .","No",""
"922.30762603","18515.436894","       65774","Other","           6","           1","           2"," 61.64250608","           1","          14","40.590910018","Yes","Home Improvement"
" 4104.565119","       57461","       68494","ProfExe","           8","           0","           4","183.63561323","           0","          30","22.795423552","No",""
"        4900","           .","16140.764135","","           .","           .","           .","           .","           .","           .","33.705587738","No","Debt Consolidation"
"        5000","           .","       34846","","           .","           .","           .","           .","           .","           .","33.354652626","No","Home Improvement"
"        5000","       47479","       61690","","           5","           .","           0","65.032969007","           .","          16","36.699414922","No",""
"        5000","       66839","13000.970168","Other","3.0956075727","           0","           0","122.59722258","           0","          15","40.616779346","No","Home Improvement"
"        5000","       12457","       53448","Self","           .","           0","           0","207.14348133","           0","          12","44.107951691","No","Home Improvement"
"        5000","       90059","      113714","ProfExe","           7","           0","           0","193.63644686","           0","          28","25.897316482","No","Home Improvement"
"        5000","12746.217001"," 8968.039848","Other","8.7133366096","           0","           0","        65.7","           1","           5","           .","Yes","Home Improvement"
"        5000","10794.873857","       70500","Mgr","         0.4","           0","           0","61.766666667","           2","           8","           .","Yes","Home Improvement"
"        5000","      100882","62240.249778","Mgr","           5","           0","           1","58.866666667","           0","          16","           .","Yes","Home Improvement"
" 4344.085422","       31000","       47350","ProfExe","          12","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        5000","3788.1045108","      126500","Office","2.9964693077","           0","           0","       100.3","           0","          14","           .","Yes","Home Improvement"
"        5000","      100000","17636.278755","Mgr","          13","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        5000","           .","      132000","Other","        17.5","           0","           2","       121.9","           0","          14","           .","Yes","Home Improvement"
"        5000","           .","        9100","Other","           1","           0","           0","54.733333333","           2","           8","           .","Yes","Home Improvement"
"        5000","33050.362474","       50830","Other","1.0962616816","           0","           0","          57","           1","           9","           .","Yes","Home Improvement"
"        5000","           .","33869.351908","Other","          10","           0","           0","72.433333333","           1","          12","           .","Yes","Home Improvement"
"        5000","      123000","      157500","Mgr","           9","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        5000","       16600","       25250","Other","           6","           0","           0","        88.7","           1","           3","           .","Yes","Home Improvement"
"        5000","           .","       52000","Other","           .","           0","           1","285.33333333","           0","           6","           .","Yes","Home Improvement"
"        5000","       22700","       34225","Other","           4","           0","           0","74.633333333","           3","           9","           .","Yes","Home Improvement"
"        5000","        6000","29978.290419","Self","           7","           0","           1","335.03333333","           3","          42","           .","Yes","Home Improvement"
"        5000","           .","37415.505447","Other","          19","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        5000","           .","63762.992809","Other","          19","           .","           .","           .","           .","           .","           .","Yes","Home Improvement"
"        5000","       73126","73272.387176","Other","0.2486805572","           0","           0","125.96666667","           2","          10","           .","No",""
"        5000","       72517","       86250","Mgr","15.556995461","           0","           1","300.36666667","           1","          24","           .","No",""
"3927.4028497","20382.563328","       35000","ProfExe","          12","           0","           0","182.63333333","           0","          13","           .","No","Home Improvement"
"        5000","       39000","49432.846156","Office","          10","           .","           .","179.83333333","           .","          19","           .","No","Home Improvement"
"        5000","           .","       26550","Other","         1.7","           0","           0","276.96666667","           1","          14","           .","No",""
"        5000","       70470","       77908","","3.7447074446","           .","           .","           .","           .","           .","           .","No",""
"        5000","           .","       36375","Other","           3","           0","           0","       266.8","           1","          26","           .","No","Home Improvement"
"4013.6295296","72375.696847"," 85266.73122","ProfExe","         0.3","           .","           .","           .","           .","           .","           .","No",""
"        5000","           .","       65400","Office","         1.5","           0","           0","51.766666667","           0","           4","           .","No","Home Improvement"
"        5000","           .","       37500","Other","           .","           0","           3","107.13333333","          10","           5","           .","Yes","Home Improvement"
"        5000","       78565","  14413.4034","ProfExe","          24","           0","           0","51.766666667","           3","          14","           .","No",""
"        5000","       59900","4065.2855564","ProfExe","          15","           0","           0","219.13333333","           1","          18","           .","No",""
"        5000","1975.7432946","       26809","Office","9.4790947584","           3","           6","       228.3","           0","          24","           .","Yes","Home Improvement"
"1247.4920956","       78893","24479.989627","Mgr","          16","           0","           0","       133.9","           1","          34","           .","Yes","Home Improvement"
"4640.5806344","       85165","      107940","Mgr","           6","           5","           3","122.76666667","           5","          28","           .","Yes","Home Improvement"
"        5000","       68000","32692.175141","ProfExe","         0.1","           0","           0","131.86666667","           0","          30","           .","Yes",""
"        5000","       71571","       85100","ProfExe","         1.4","           0","           1","82.133333333","           0","          13","           .","Yes",""
"        5000","23919.836884","27727.330631","Other","           2","           1","           0","       222.2","           1","           6","           .","Yes",""
"        5000","       40000","       32480","Other","           8","           3","           2","163.36666667","           1","          16","           .","Yes","Home Improvement"
"        5000","       81748","           .","ProfExe","          14","           1","           2","144.06666667","           2","          17","           .","Yes",""
"1823.0998478","       44674","45030.531991","Office","          10","           .","           ."," 178.6925087","           .","          19","26.448197463","No","Home Improvement"
"2004.0920666","       61999","     75021.3","Other","           5","           0","           0","        97.1","           0","          23","           .","Yes","Home Improvement"
"        5000","       80153","       97275","Other","           1","           0","           0","120.67506316","           2","          10","37.512708409","No",""
"559.46682839","       68739","79934.445242","Mgr","           3","           0","           0","148.72040469","           0","          23","36.669278612","No","Debt Consolidation"
"        5000","       51209","       55320","","           5","           .","           1","69.107465597","           .","          15","35.025072968","No",""
"        5000","       46696"," 33796.47744","Other","           2","           1","           2","148.34064549","           0","          14","46.489874001","Yes","Home Improvement"
"        5000","           .","14332.812832","Other","           2","           0","           0"," 257.6522064","           0","          26","40.952588884","No","Home Improvement"
"        5000","       66435","       82819","Other","           2","           0","           0","125.13062556","           0","          14","42.183538672","No","Home Improvement"
"943.71907559","      179725","      251962","Sales","           .","           0","           0","127.49881344","           0","          22","40.308259362","No",""
"        5100","       85583","      115341","ProfExe","           7","           0","           0","177.95825512","           1","          28","26.257970132","No","Home Improvement"
"        5100","       72891","       80691","Other","           1","           1","           0","273.88170516","           0","           6","39.852146515","No","Home Improvement"
"        5100","4585.3494237","10662.501566","Other","          10","           0","           0","          69","           0","          17","           .","Yes","Home Improvement"
"        5100","           .","       26715","Other","0.2198845792","           0","           0","258.78929762","           0","          14","26.722343337","Yes",""
"        5100","       87258","107458.87496","ProfExe","           6","           0","           0","181.66304016","           0","          28","25.444759149","No","Home Improvement"
"  1920.44584","           .","9589.2524174","Other","           2","           0","           0","277.94456081","           1","          14","23.644691283","No",""
"        5100","        9900","1442.8727977","Other","1.1375162444","           0","           0","        21.2","           0","           2","           .","Yes","Home Improvement"
"2108.8496223","       93000","18774.962834","Other","7.1089483039","           .","           .","417.63333333","           2","          50","           .","Yes","Home Improvement"
"        5100","       15500","       34000","Other","           0","           1","           2","86.233333333","           2","          13","           .","Yes",""
"        5100","      129319","      141875","Sales","5.8723455583","           1","           0","157.85980209","           0","          36","25.650741224","Yes","Home Improvement"
"        5100","       66834","       87361","Other","           0","           2","           0","290.03410799","           0","           6","38.766985071","No","Home Improvement"
"        5100","58003.706633","       96031","Other","           0","           0","           0","125.78740011","           1","          10","34.446079222","No",""
"        5100","       74071","16021.480531","Other","           0","           0","           0"," 121.0759726","           2","           9","36.401729548","No",""
"        5100","       62702","       79784","Other","           2","           0","           0","108.07259081","           0","          15","43.290139816","No","Home Improvement"
"        5200","           .","       36425","Other","           2","           0","           0","266.81346457","           1","          14","23.797401058","No",""
"        5200","49280.582199","       77000","Other","6.0437595626","           0","           1","       119.7","           0","          25","           .","No","Home Improvement"
"        5200","       43039","       53521","Office","          11","           .","           .","184.29668729","           .","          19","24.414763177","Yes","Home Improvement"
"        5200","       19000","       26000","Other","           0","           1","           0","        17.2","          10","           7","           .","No",""
"        5200","           .","        9500","Other","           1","           0","           1","        81.1","           1","           2","           .","Yes",""
"        5200","7032.7297206","      110000","Office"," 2.954423727","           0","           0","123.76666667","           1","          12","           .","No","Home Improvement"
"        5200"," 1294.647964","       45187","Self","           .","           0","           0","221.11808171","           0","          11","42.712093844","No","Home Improvement"
"1623.0315672","       40564","       39527","Other","           0","           0","           0","157.77103572","           1","          13","72.670433313","Yes","Home Improvement"
"        5300","       73698","       84427","","           4","           .","           .","           .","           .","           .","19.131201179","No",""
"        5300","       66987","42453.072753","Sales","2.3909198727","           1","           0","175.32870382","           1","          22","40.442570389","No","Home Improvement"
"        5300","       26908","       36078","Other","           .","           0","           0","302.35870946","           0","           8","39.196985402","Yes","Home Improvement"
"        5300","           .","       49396","","           0","           0","           0","           .","           0","           0","12.043670576","No","Home Improvement"
"        5300","       44993","       50673","Office","           7","           .","           .","184.74276716","           .","          18","27.906122726","No","Home Improvement"
"        5300","31562.350013","       64000","Mgr","          10","           1","           0","98.333333333","           0","          12","           .","Yes","Home Improvement"
"        5300","       75958","       91703","Other","           0","           0","           0"," 124.1821788","           1","          10","34.599060194","No",""
"        5300"," 51854.31388","      117343","Office","          22","           0","           0","109.93390789","           1","          11","  35.8385427","No","Home Improvement"
"        5300","       60826","       80826","Mgr","8.9327070345","           .","           1","212.89174607","           0","          25","38.591494028","No","Home Improvement"
"        5300","       83552","58495.902534","ProfExe","           0","           .","           .","           .","           .","           .","28.423961906","No",""
"654.29752458","30726.867845","       63895","Office","          19","           0","           0","208.16271401","           0","          20","19.762113701","Yes","Home Improvement"
"        5300","16980.274666","       62957","Office","7.3528153372","           0","           0","197.24195728","           0","          20","19.350505633","No","Home Improvement"
"        5400","       53429","       64505","","           5","           .","           0","69.542430107","           .","          16","36.480236299","No",""
"        5400","           .","       65474","Office","           1","           0","           0","40.709849004","           0","           4","37.848771035","No","Home Improvement"
"        5400","       47844","       52040","Office","2.4683328357","           .","           .","189.03430464","           .","          18","24.701136262","No","Home Improvement"
"        5400","       45509","       57453","Sales","           4","           0","           0","        95.6","           0","          22","           .","Yes",""
"        5400","       59720","       63450","ProfExe","           5","           0","           1","       199.9","           1","          20","           .","No","Home Improvement"
"        5400","       86922","      119846","ProfExe","           5","           0","           0","185.07634726","           1","          28","26.354889295","No","Home Improvement"
"        5400","       68625","       82304","Sales","1.5812109595","           0","           0","136.63294416","           0","          30"," 32.05002349","No",""
"        5400","       65814","       85848","Other","           4","           0","           0"," 122.9402886","           0","          15","44.092325682","No","Home Improvement"
"        5400","           .","50615.671985","","           .","           .","           .","           .","           .","           .","23.163742947","No","Debt Consolidation"
"        5400","       78300","36150.664179","ProfExe","3.4588892774","           0","           0","       102.5","           3","          19","           .","Yes","Home Improvement"
"        5400","16161.613075","       55760","","           6","           .","           0","78.452125766","           .","          16","35.763637997","No",""
"        5500","       70481","       82446","Other"," 1.202902217","           0","           1","116.59197688","           0","          24","37.612682724","No","Home Improvement"
"        5500","           .","       35402","","           .","           .","           .","           .","           .","           .","35.272073735","No","Home Improvement"
"        5500","       87765","      101053","ProfExe","          22","           0","           0","55.558049044","           2","          13","31.375542416","No",""
"        5500","       52897","       65054","Office","4.6307216141","           0","           0","189.29531847","           0","          19","20.654128896","No","Home Improvement"
"        5500","       24700","       35675","Other","           1","           0","           3","153.93333333","           3","          27","           .","Yes",""
"        5500","           .","       43132","Other","           .","           .","           .","           .","           .","           .","           .","No","Home Improvement"
"        5500","       43486","25400.826853","","           4","           0","           0","216.13333333","           4","          30","           .","No",""
"        5500","15728.212255","       30000","Other","           7","           3","           2","       130.8","           3","          14","           .","No",""
"        5500","           .","       13770","Mgr","           5","           0","           1","167.36666667","           1","           8","           .","Yes","Home Improvement"
"339.18420218","       93051","      115374","ProfExe","           6","           0","           0","187.02051879","           1","          27","27.646748505","No","Home Improvement"
"3634.3880806","       87438","      116679","ProfExe","3.5645453593","           0","           0","186.42441602","           1","          27","28.417530896","No","Home Improvement"
"4536.4553461","       78059","       78179","","3.2404900404","           .","           .","           .","           .","           .","20.679313582","No",""
